comments,date
"I don't know what others are talking about. I found this movie very entertaining and informative. We've known for years that big Pharma caters to, brides and pay doctors in accepting their drugs and writing prescriptions for them.Believe me, I've seen plenty of drug companies rent out an entire theatre and give doctors all kinds of perks. Trips, money and incredible expensive items.In addition, character played by Emily Blunt is spot on in appearance and demeanor. Drug reps strut like peacocks into these doctor offices to tout their goods. I've even heard them joking and flirting when in the next room
It's all a game and the patients are the guinea pigs. I wouldn't trust the FDA as far as I could throw them.",2023-10-28
"Carried by a typically strong Blunt performance, Pain Hustlers is both watchable and eye-opening, even though its dramatic impulses do kind of cancel each other out.Directed by David Yates, who has spent most of the last two decades helming ""Harry Potter"" movies and prequels and might not be the best fit for this material, Pain Hustlers aims to be a fast-paced, raucous, blunt and slick work a la ""The Wolf of Wall Street"" and ""The Big Short,"" but winds up caught between the worlds of breezy satire and hard truth. Emily Blunt and Chris Evans are fabulous but you'll be hard-pressed to remember anything else by the time the credits are done rolling.But the movie does succeed in unpacking the raw grift and exploitation of the pharma sales business, and the wider dysfunction of the American health care and legal systems that allows it to go unchecked. So a thumbs up on that part.My Rating: 6.5/10.",2023-10-29
"The Zanna pharmaceutical company has rigorous standards in hiring practices of their sales forces. Ph. D.s are required. However, the company's definition of a Ph. D. is as follows: poor, hungry, and dumb.There was an over-the-top approach to satirizing a serious topic, namely, the greed of big pharma that led to senseless deaths due to fentanyl addiction and overdose. Every segment of the food chain was the subject of satire in this film, including the pharma executives and their sales staff; the greedy doctors; and the pitiful, gullible, and sheep-like patients.Emily Blunt was good in the leading role of Liza Drake, the stripper who may have been poor and hungry, but she was not dumb. She dynamically used her natural gifts in sales to hoodwink doctors into promoting the miracle pain reliever Lonafen.The minor character of Stephanie may have been central to the tragic side of Liza Drake's life. Stephanie was a fellow resident at a fleabag and noisy motel when Liza's life had reached a low point. Stephanie gave Liza the gift of a comforter and some ear plugs. She later sat in court and watched Liza's sentencing to fifteen months in prison. Stephanie was leading a modest, happy life in the motel and was the modeling basic human values of decency that were missing in Liza's life.The motto of the slick Zanna group was ""Own the doctor and own your destiny."" Stephanie's life was a demonstration of how dispiriting and evil the lives of the pain hustlers could be.",2023-10-28
"It's a nine, instead of a 10 out of 10. This movie doesn't spend every moment on high glamour shots, though it could have with this tale. It doesn't need to for this genre, as the story itself is a sensationalization of a blockbuster true story. Th there a lot of stories coming out about the big players in the opiate epidemic. I think this one is important because it shows more than just the executive and accounting and lifestyle side. We actually get very little lifestyle outside of the company actions, which I appreciate. Also, it shows ways that legal fentanyl managed to penetrate the market for off-label pain management prescriptions. The acting is well done, the casting fits, and it's well told. I like this style of narratives based on a true story. ""I, Tonya"" did this too, where they have little cut ins of the people who consulted on the movie, which are also characters in the story of course. Allows them to give you little tastes of what the people are like, but also highlights that this is a fictional
Account of a real thing, as told by public sources and the people in the story telling the story they want told. It's clever and it's entertainingWell made movie about an interesting and important subject. Doesn't feel like a documentary, but in a good way. And I love documentaries.It also illuminates something that happens in most corporations' decisions, but which can be a dangerous mindset in the dark. Which is that a demand by stockholders for growth in a company, rather than strong corporate governance practices and market share resilience, can drive executives (who tend to get a large portion of their pay in shares) to drive the demand into adjacent markets. In the health sector, this would be patient groups.Combine this with a strategy that does make sense for most companies, but here became the framework the pill mills could be built on: targeting the smaller doctor practitioners who weren't being courted by the Big pharma reps. Less expensive marketing, which is good because it allows small and midsize companies to compete in the market at all, but doctors whose patient volume and share of advanced cancer patients is going to be smaller because they have less patients in general, and because the larger doctors and hospital groups will be doing other care for many of these types of patients and often handle the pain management as well. I'm sure you can see how this could easily lead to patients finishing up cancer care or specialist care or experiencing side effects from cancer treatments they want to have documented but wouldn't need an oncologist appt for, hitting up their local Dr to see what can be done. This doctor will see them after the cause of the pain subsides. How can it even be determined properly that, when taking a pain medicine-which doesn't target specific pain-you can tell when the pain subsides to not need it? After all, taking this stuff chronically leads to feeling pain from withdrawal when you don't have it. Which feels just like, well, pain. It's a difficult situation. But greed at the small level scales too.",2023-10-30
"I was perplexed as to why the rating was so low for this film... Until I scrolled down. The first bad review was in reference to an incident at the beginning of the film. The daughter accidentally created a minor forest fire, and instead of her mother being riddled with guilt, she opposed her daughters expulsion. Outside of said meeting, she expressed her disapproval for her daughters actions. However, said reviewer somehow perceived this minor scene to be some sort of promotional piece for arson, and somehow it equates to the movie being of poor quality. Society is so irrational nowadays. I do not know if the poor reviews gain any further credibility, as this was enough clarity. If you are sane, watch this movie, and potentially enjoy it. I'm not saying that this movie is beloved by everybody. But critique it rationally.",2023-10-28
"This movie was very entertaining, really well acted, great plot -- the negative ratings are over inane points that probably would not bother the vast majority of viewer I feel. And though obviously these ""based on a true story"" films are bound to include exaggerations of reality, I thought the way that the story managed to illustrate how things can go from being ""David vs Goliath"" to flipping the script (pun intended) and becoming predatory was really well done.Overall 8/10: Highly Recommended -- if you're not someone who likes to heavily dissect things, I don't think it is possible to regret this one!",2023-10-28
"Emily Blunt is good in everything (and *great* in some of them), but she's said in the past that she tries to avoid mimicking an American accent, as she does here. And I can see (hear) why: Kate Winslet is mistress extraordinaire of American accents, whereas Emily struggles from scene to scene to sound like she's from the same, distinct place. Because a lot of British actors have heard and studied Southern drawls (think Vivien Leigh) they tend to lapse into one whether meaning to or not. Anyway, Emily gives a good, believable performance as the lead in this big Pharma tale, but Chris Evans struggles against his ingrained ""nice guy"" image, Catherine O'Hara goes over the top as the mother of Emily's character, and Andy Garcia-I don't even know what to say. In the last year or so, there have been several mini-series about the infamous case of OxyContin & Purdue Pharma, and they were better than this film about a lesser-known Fentanyl nasal spray. Check those out instead of this one, unless like me, you must see EVERYthing Emily Blunt's in!",2023-10-28
"This movie is polarising, no question about it. The subject is controversial. Fentanyl. Big pharma. Doctors and scripts.I started to watch it and at first I thought it was a documentary. It's not.I nearly pulled out at the beginning. However, the storyline of this young woman who wanted to survive by becoming a sales rep got my attention.Her struggles, her meteoric rise to fortune from her down on her luck situation.Casting is very good, quite believable characters although it's perhaps a caricature of the industry and the opioid crisis ? That I don't know.One thing is certain: the movie left me disturbed and a little agitated. Hence, not a good idea to watch this movie before going to bed.",2023-10-29
"""Pain Hustlers"" is a story revolving around a pharmceutical company.First off,many people are giving a very low review for this film that it just copies ""Wolf of Wall Street"" etc. This movie was not released to break any collection records (or) win some academy awards. This movie is a ""Saturdat Movie Night"" one-time-watch movie. If the viewers treat it just like that and enter without any kind of expectations many people will have a good time-pass.The acting of the main cast Chris Evans and Emily Blunt was on-point. They both did justice to their characters .Being the ""bad guy"" is kind of suiting Chris Evans from ""The Gray Man"" itself.One point I would like to highlight is that atleast one character i.e. Liza Drake's character arc of redemption could have been executed a bit better by linking her daughter's epilepsy to the patients who died of drug overdose. Then,many people would have connected in a more deeper sense.This movie is not about anything on a grand scale (or) some kind of once-in-a-generation film (or) something. It is shot for a one-time-watch with a likeable cast and a normal plot,so do the same :)",2023-10-28
"I thought this movie was pretty good. The storyline is not new (follows desperate sales people doing questionable things in the name of the almighty dollar), but it is loosely based on a true story. Blunt, Evans and O'Hara were great in their roles. Garcia was low key and I felt he was a back seat player even though his character was integral (because he owned the company). He was just weird😀, who knows maybe the real guy was too. I think the story did a good job of telling how desperate people walk right into hinky doings in the pursuit of money, only to later have misgivings and try to backtrack. I was happy to have seen it.",2023-10-29
"How did they manage to turn such a basically wild story of greed and lies into a dud of a movie?The bad: I blame the direction firstmost for lack of true drama and thrill. This story just toddles along while it is in essence full of lies and deceit, ingredients with which a director for sure COULD HAVE come up with a more exciting movie...More bad: the actors are miscast. Emily Blunt especially is always cast for roles of sweethearts or good girls, but now she has to perform a lowlife greedy b*0c! And she just isnt very believable. What's much worse though is the opposing leading male actor, whom I have never heard of before and whom I hope never to see again, because he was BLAND incorporated. Complete nobody.Such a story of greed and deceit deserves a better direction and cast, but unfortunately this turned out to be just a lame duck without any real thrill.",2023-10-28
"This movie was ok, but there are already two other that have been made that are a lot better, and one is way better than this one. Evidently there are going to be as many movies made about the opioid/fentanyl crisis as were made about Nazis. And slashers.So, my gripe is not so much with the quality of the acting, storyline, or directing, or production value. It is about that I already have that T-shirt. It is definitely the same ole same ole, samey-same.Others complained about the other show on Netflix about the opioid crisis being a cheap rip-off of Dopesick. This one is a cheaper rip off of both of those.Dopesick is the absolute class of this genera.",2023-10-29
"This movie would normally be a 6 to 7 stars movie for me but in order to counterbalance all the ridiculous 1-3 stars, I had to put a 10. Pain Hustlers has a good story to tell with great actors but is flawed in its execution. First half is better than second half and overall it felt a bit long. The interviews portion did not work for me and felt phony. I thought the cast did great though. This is Liza's story and Emily Blunt shines in the role. She is also well supported by Chris Evans, Andy Garcia, Catherine O'Hara and Chloe Coleman. Emily and Chris have great chemistry and their scenes together are the best parts of the movie. Wish Chris was given more to do though. He was great in that last scene with Emily. Overall, I still enjoyed the movie.",2023-10-27
"Given the recent a spate of movies and limited series about the opioid crisis, Pain Hustlers risked being a Johnny Come Lately take on one of the US' most pressing issues.But the very human storyline and stellar casting makes for compelling viewing. The series does a great job of addressing a weighty topic without getting heavy-handed.Emily Blunt really carries the show, but Chris Evans really excels in his return to the role of likeable jerk.Andy Garcia and Catherine O'Hara really round out the ensemble. O'Hara is an especially inspired bit of casting and, in typical form, is an absolute scene stealer.",2023-10-27
"I watch everything that includes Emily Blunt. This one was disappointing. The story of Opiod addiction as a result of lies told to doctors about the merits of their drug has already been told several times. Virtually all previous films about this topic were much better. Blunt was, as expected, excellent in her role but the other characters which included Chris Pine, Andy Garcia and Catherine O'Hara were more like caricatures than real people. Most of the film was spent on Emily Blunt leaving her employment at the promise of greater earnings with a pharmaceutical company in order to take care of her daughter. More than half of the film dealt with Blunt's development and ability to encourage the sales staff to be successful in selling their drug to doctors to prescribe to cancer patients. Much less time was devoted to her becoming disillusioned and feeling disappointed with her role in the distribution of an addictive and lethal drug. The film overall was not satisfying and only a diehard fan of Emily Blunt, as I am, would find justification for watching.",2023-10-28
"I will start out with a warning: this movie will win you over or completely lose you in the first seven minutes. There are multiple character beats that you might find to be really funny, or you might find to be completely repugnant. If you find them repugnant, then just stop watching. Nothing that follows in the movie is going to bring you back. For me, I found them funny and greatly enjoyed the experience.The movie is a typical rise-fall story, a core storytelling structure that is literally as old as the Bible. (Take THAT, guy who said it's a Wolf of Wall Street rip-off.) It is inspired by a true story arising from the pharmaceutical side of the opioid crisis. As with any movie based on real events, modifications are made as necessary to fit it into three acts that take less than two hours. It's a movie that, like most movies, does not try to be real-world accurate. The real people aren't that good looking, they aren't as articulate or funny, the real locations aren't that large or colourful, and the pieces of the real puzzle don't click together so neatly. It's a movie. It tells a story that is worthy of being told while aiming for emotional accuracy if not... well... being entirely true.I found the performances to be very strong. Catherine O'Hara in particular was over-the-top in exactly the right measure. (Those not familiar with her body of work might be surprised to hear that this performance is pretty restrained compared to everything else she has done, most recently the TV series Schitt's Creek.) Emily Blunt was terrific, and Chris Evans was cast perfectly as the guy who made Blunt's rise possible, and was largely responsible for her fall. Overall, there wasn't a single bad note from any of the performances.It isn't a movie that rises above the genre in the way that some of, say, Quentin Tarantino's movies do. But - if you are okay with the darkness of the humour - it's an enjoyable movie to watch, and one that can justify a second viewing.",2023-10-28
"Wow this was REALLY bad.Pain Hustlers is a movie that has a great cast and an interesting concept but unfortunately the sloppy narrative, extremely obxnious characters and messy direction fails to make this movie interesting. Director David Yates clearly has talent with his directing works on the Harry Potter franchise but Yates direction felt sloppy and all over the place. The narrative feels like it tries to be something from Martin Scorsese or Oliver Stone type but it falls apart quickly because the narrative felt unsocial, the tone is all over the place, and the characters are extremely unlikable to the point and boring. The dialogue felt forced, the production is cheap and there are attempts of humor but each attempt falls apart pretty quickly.The performances honestly are good. Chris Evans and Emily Blunt are doing their best but their performance isn't able to save the movie at all. This could have been a fun movie but it ends up being really bad and annoying to sit through. Overall, it's painful.",2023-10-27
"Not before time a drama-docu-drama showing how the road to hell is paved with good intentions..!It started off with a 'cheap' feel to it, assuming they had to show the stark contrast of ..anyone can ""sell"" in America regardless of their background.They soon got into their stride (if you can blank out Emily Blunt's Ameri-can't accent) and rags-to-riches at the expense of personal and legal ethics became self evident.The dangers of prescribing ""off label"" for 'other' conditions aren't only restricted to opioids as shown here. There are many more areas of pseudo medicine based on ""edited studies"" they could/should be making films about..Somewhat ironic that, Emily Blunt's Uncle (a politician) is on the record in favour of ""off label"" use of prescription drugs..for recreational purposes! Who knows maybe he'll watch this film and change his mind?",2023-10-30
"Fascinating beginning of how the story took shape with a woman who had a good knack for sales, making it to the top of the pharma sales team for a new product.Emily Blunt is fabulous as is Chris Evans and their chemistry and work relationship is fun to watch. Andy Garcia is fabulous as the doctor as his Catherine O'Hare as Emily's mom.The plot is fairly predictable and it's amazing how hugely profitable big Pharma could grow in such a short period of time based on how they infiltrates these second rate doctors.The set designs are great, especially the wonderful estates that they are all living in; but even the dive hotels where they started with the speaker tours.Costumes are fabulous! Emily's outfit are great!It was entertaining but sad since we all know how big pharma has f&$ked this world.",2023-10-29
"Main story is a sad truth. Behind peoples agony to aliviate their pain even if it's uncurable some companies take advantage of them.So in the mail plot we have the all time goddess Emily blunt rising from her ashes trying to deal with her problems and Mr America Chris Evans that gives her a chance to involve. The story somehow starts a bit absurd but rolls somehow interesting.The role part is kinda sloppy but does the trick to be a whole sum in general. Andy Garcia plays a mystery role but too short for his leak, however he leaves some of his material in it.Generally the movie is flat but with some points. The cast is steady but you feel they don't cooperate as a total. Nice movie, a bit picturescue, foggy result BUT I love blunt and I like this Chris Evans macho role. It's a 7/10 from me.",2023-10-29
"Pain Hustlers, directed by David Yates, is a thrilling crime drama that takes viewers on a captivating journey through the ambitions and perils of its protagonist, Liza Drake, brilliantly portrayed by Emily Blunt. With a standout performance by the lead actress and the addition of Chris Evans, this film delivers an engaging cinematic experience.At its core, Pain Hustlers explores the struggles and aspirations of Liza Drake (Emily Blunt), a high-school dropout dreaming of a better life for her young daughter. Blunt's portrayal of Liza is mesmerizing, capturing both her charm and determination with a nuanced performance that draws the audience into her world. Blunt's on-screen chemistry with Chris Evans, who plays a pivotal role in the film, adds depth to their characters' dynamic and enhances the overall narrative.Under the direction of David Yates, known for his work on the Harry Potter film series, Pain Hustlers transports viewers to Central Florida's yellowing strip mall, capturing the faded dreams and desperate aspirations of its characters. Yates' skillful direction brings a sense of authenticity to the setting, effectively utilizing it as a metaphor for Liza's journey and the risks she takes to achieve success.",2023-10-28
"We've really started to see a lot of movies of this kind. Yes, I understand the message they want to convey in an entertaining way, but I don't feel it's delivered accurately, so I find the movie somewhat complicated. I should also add that it has a very average plot, and it fails to make it interesting in many aspects.I won't say anything about the acting because, in my opinion, everyone falls short of the level they should play at. There are scenes where everyone seems forced, and it feels like I'm watching myself overact. Chris Evans wasn't bad, but I still don't think we've seen his full potential in this film, even though he does make a difference. Is it at the desired level? Not at all.Yes, there were a few nice scenes, but the shots were repetitive. Especially, the excessive use of slow-motion, when it could be effective once, was puzzling. This is a movie, not an Instagram story.If I move on to spoilers, the way pharmaceutical companies hook doctors like snacks is a clear sign that medicine is not practiced with belief these days. We all make mistakes, but when people come to the medical and healthcare sector in need, it should not be exploited. I understand the character Liza giving a statement and accepting her punishment, but if someone thinks that money will bring them respect, unfortunately, it doesn't work that way. Money blinds, but development earns respect. Give yourself your own respect.",2023-10-28
"A David Yates film that I can't believe opened at the Toronto International Film Festival.It was scripted from the New York Times Magazine article of the same name by Evan Hughes.Sony Pictures assembled an ensemble cast for this film (for some reason).Although the film does a good job of explaining the Opioid epidemic, at the end of the day, since these events are internal affairs of the USA, ninety percent of those who watch this film will focus on the ""pharmaceutical industry"", not the Opioid epidemic.While this is the case, the film Puncture (2011), in which Chris Evans shows a really good example of acting, is a much better work.Even though it was shot with one tenth of the budget of this film.Now, if only Hollywood film industry would give up this ""we are collecting everyone"" thing.The music by James Newton Howard is unbelievable... The film is just another Hollywood production where all the good names come together to make a mediocre work.",2023-10-29
"Really enjoyed everything about this film. Truly laugh out loud moments from perfect edit timing. The story arc, the music anchors, the character arcs all on point, the star power, the comical nods to the actor's past films, the portrayal of the sales industry and the drug problem being faced in the US and the mise-en-scene all come together for a tour-de-force For example, the moment the CEO is asked to to lie for Dr Neel and there is a shot of a live dog with a soft toy dog next to it, you know it's comparing the dog with the CEO being kept happy and comfortable through his family by Dr Neel's manipulations. Masterful film making!",2023-10-28
"Here is a well-written movie that provides viewers with a look at all sides of the debacle created by opioid prescription abuse. Manufacturers, doctors, sales reps, and of course patients are not spared. Unlike fictionalized movies about the 2008 Great Recession, which failed to assign blame to all the willing participants, Pain Hustlers rationed out the damage fairly, culminating in the final court scene.Emily Blount plays the likable Liza Drake as a down and out mom willing to do what it takes for her daughter. She leads a strong cast of complex characters balanced by Chris Evans and Andy Garcia. Brian d'Arcy James gets my vote for Best Supporting Actor.Pain Hustlers is worthwhile investment of your time.",2023-10-27
"I believe this is one of the best representations of the real-life affair that goes behind the logos of most pharma companies.Emily Blunt played very well again, showing that she is a big actress, and her variety of characters portray her professionalism. I was astonished by how well she played it, but also by what her character symbolized. Morality is something rare these days, and even less visible around Big Pharma-related businesses.Now, they explain 10 stars, the acting was great, and an overall good impression. Also, the cast played out almost as if it was all real. I also have relatives in the medical system who have been targeted but never accepted.It's a business, and the only interest is in having more money, and spending more, no matter the consequences for people's lives.I trust this movie will open other's people minds to the importance of knowledge in any field, especially when it comes to our health.",2023-10-29
"I enjoyed the film, and I have to say I didn't know the story behind it. It is an interesting theme but the movie tried to be more like a Wolf of Wall Street than to be authentic.My problem with this is that the timings don't look right, she didn't even finish high school, but was proficient with the numbers in terms of commissions and growth? Plus she started one day and in less than a week the company grew, and by the time six months passed she already had stock valued on $15 million?Not even a year passed and there were deaths, incarcerations, repentance, surgery and trial? I think the creative liberties taken by the movie in order to give it a bit of context ended up impacting the credibility of the story. And at the end she gets a 15 month sentence but after that time she has a new company and is thriving? No explanations no notes at the end. I think it needed a bit of work on the script to make it more credible.",2023-10-30
"This film, by the very good director David Yates, who has excelled in many genres, is definitely very much worth checking out.The actors all do an incredible job, truly career defining acts, and some of their better performances for sure. All of this, of course, accompined by a very good script, very important, eye-opening and real.The cinematography, cutting and editing is very good, and the film is all around very beautifully put together.Overall, a very important historical piece, that I would definitely recommend. Very well acted, directed and put together, and some important messages throughout it all.Recommended for any lover of film, and everyone else!",2023-11-01
"This is Hollywood's 3rd attempt at telling the big pharma/opioid crisis story. Each telling gets progressively worse. The first, Dopesick , was really good and took the time to tell a well rounded, well done story. Next was Painkiller, which is ok, but no Dopesick. And the third, and probably final, being this turkey.Emily Blunt is always good, but her costumes were terrible-so 1980s, just not on point or decade . Catherine O'Hara is miscast as the trashy mom, she just doesn't work- this isn't supposed to be a comedy. The other characters were over accented, poorly costumed and really just cartoons. At some points this did seem to be a comedy. The last 1/4 of this film is so rushed.It just didn't work and was a waste of time. I wonder what went wrong.",2023-10-28
"Great performance by Emily blunt and Chris Evans, but we MUST Reinforce Emily's Performance, she brings emotion to every scene she participates in,
Direction and Editing brought an excellent sequence of scenes and chronology that combined with a good soundtrack, the result could not be other: Suspense, Humor, Anxiety, Fear, Adrenaline, all telling a story based on facts real and leaving a review on the airThe film revolves around a simple plot that could have been told in a news story in less than 2 minutes, but this film shows that with a powerful cast, and in the hands of a good team, the story becomes something remarkable and worthy of a high note.",2023-10-30
"This film gives The Wolf of Wall Street meets Dopesick with a heavy dash of John Carter (iykyk).The acting from top to bottom was executed incredibly well. Emily Blunt held the screen brilliantly as she always does. Andy Garcia was a legend as always. I found beauty in the cinematography (but could have done without the mockumentary styling). I enjoyed the score. Point being.... It had incredible potential.However, in comparison to Dopesick, this film lacked the intrigue of that you'd want to see.It was hard to find a ton of empathy for Liza despite the desperation they attempted to evoke from her characters disposition. The sick daughter, the over the top mother (too type cast, my one casting squeamish). The living out of a hotel room. Even if all of these are details are actual facts, the way the story was delivered it didn't hit me with a feeling of a hero's journey.Liza Drake is no Jordan Belfort.But ONE BIG THING that is to note for me: I had never heard of Liza or Zanna or any of this scandal. In that sense, I'm grateful it was produced and that big pharma remains under attack in the media. I hope it continues, and creates lasting change against the greed and exploitation of companies who see people as $ signs.",2023-10-31
"Big Business America is moralising Big Pharma? Ha-ha!Without the wokeness it would have been a fun movie.Bankers, brokers, pharma reps et al do not come with a conscience, so I am annoyed of fairy-taling morals into them.And why do you think no CEO of Pfizer et al is in prison right now? You think they are better people? Better connected, even richer and decades of lobbying I would say.Doctors have been drug pushers since the beginning of time.Not saying people shouldn't go for malpractice suits, on the contrary, sue them all into bankruptcy.But people do not want responsibility for themselves. They want magicians in white coats to cure them. That includes illness and medication, and addiction.Next they'll be suing gun manufacturers for gunshot suicides. Joke. Or the sugar manufacturers for rotten teeth and diabetes. Or the rich for poor people dying because they cannot afford basic treatments. I'm just not into cherry-pick blaming.And Fentanyl is a great drug.First half was fun, then it turns boring in all its fake outrage and concern.A morality play? Ha-ha.",2023-10-29
"Typical, netflix, slop.Seeing emily blunt now doing netflix films shows you exactly where her career is, the bargain bin.Had to cringe extremely hard within the first 5 minutes, typical netflix level dialogue.The entire cast so badly wanted to do finger guns in every scene, theyre just that badarse and cool, but sadly even the director thought that was too much.What parallel universe do you have to be in to take any of this seriously, its so synthetic and cliche.Oh and everyone has an IQ of at least 1000, and theyre going to tell you about it!Made it 15mins in before having to turn it off, its that bad.Probably good to watch between tiktok scrolls bruh.",2023-10-31
